subject,zone_category,slope,intercept,r,n
UT13,choice,-0.007144180187366537,0.6910341742099121,-0.22018008755421176,105
UT13,corridor,-0.007118438985624332,0.6935830659621359,-0.20934451661114561,105
UT13,reward,-0.006121593384180881,0.6883728807686503,-0.1852705687427192,105
UT14,choice,-0.012277991013286733,0.6445709487474017,-0.3039676022106008,155
UT14,corridor,-0.012030740581680629,0.6535298565346915,-0.31623035916421965,171
UT14,reward,-0.009750272796809688,0.6541293547169031,-0.2661549401722457,171
UT15,choice,-0.0404187283088794,0.5143605648170563,-0.3289239690112058,96
UT15,corridor,-0.03963146639678373,0.5033362811545983,-0.315961937747451,105
UT15,reward,-0.054170325215148904,0.5225343321595365,-0.40401484733229087,105
